Logrecord,Date,Time,Pid,Level,Component,ADDR,Content,Label,Content_after_re,Template_id,Template_string
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:22.704,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] During sync_power_state the instance has a pending task (spawning). Skip.,3edec1e4-9678-4a3a-a21b-a145a4ee5e61,<*> During sync_power_state the instance has a pending task (spawning). Skip.,2,<*> During sync power state the instance has a pending task <*> Skip.
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:22.706,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] VM Resumed (Lifecycle Event),3edec1e4-9678-4a3a-a21b-a145a4ee5e61,<*> VM Resumed (Lifecycle Event),1,<*> VM <*> (Lifecycle Event)
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:22.727,2931,INFO,nova.compute.manager,req-e285b551-587f-4c1d-8eba-dceb2673637f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Took 21.38 seconds to build instance.,3edec1e4-9678-4a3a-a21b-a145a4ee5e61,<*> Took 21.38 seconds to build instance.,6,<*> Took <*> seconds to build instance.
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:22.754,2931,INFO,nova.compute.manager,-,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] During sync_power_state the instance has a pending task (spawning). Skip.,3edec1e4-9678-4a3a-a21b-a145a4ee5e61,<*> During sync_power_state the instance has a pending task (spawning). Skip.,2,<*> During sync power state the instance has a pending task <*> Skip.
nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:29.711,25746,INFO,nova.osapi_compute.wsgi.server,req-d1a646cc-b7b8-4a63-963e-40051488cb7f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""DELETE /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/3edec1e4-9678-4a3a-a21b-a145a4ee5e61 HTTP/1.1"" status: 204 len: 203 time: 0.2484462",3edec1e4-9678-4a3a-a21b-a145a4ee5e61,"10.11.10.1 ""DELETE /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/3edec1e4-9678-4a3a-a21b-a145a4ee5e61 HTTP/1.1"" status: 204 len: 203 time: 0.2484462",7,"10.11.10.1 ""DELETE <*> HTTP/1.1"" status: 204 len: 203 time: <*>"
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:29.743,2931,INFO,nova.compute.manager,req-d1a646cc-b7b8-4a63-963e-40051488cb7f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Terminating instance,3edec1e4-9678-4a3a-a21b-a145a4ee5e61,<*> Terminating instance,8,<*> Terminating instance
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:29.959,2931,INFO,nova.virt.libvirt.driver,-,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Instance destroyed successfully.,3edec1e4-9678-4a3a-a21b-a145a4ee5e61,<*> Instance destroyed successfully.,4,<*> Instance <*> successfully.
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:30.618,2931,INFO,nova.virt.libvirt.driver,req-d1a646cc-b7b8-4a63-963e-40051488cb7f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Deleting instance files /var/lib/nova/instances/3edec1e4-9678-4a3a-a21b-a145a4ee5e61_del,3edec1e4-9678-4a3a-a21b-a145a4ee5e61,<*> Deleting instance files /var/lib/nova/instances/3edec1e4-9678-4a3a-a21b-a145a4ee5e61_del,9,<*> Deleting instance files <*> del
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:30.621,2931,INFO,nova.virt.libvirt.driver,req-d1a646cc-b7b8-4a63-963e-40051488cb7f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Deletion of /var/lib/nova/instances/3edec1e4-9678-4a3a-a21b-a145a4ee5e61_del complete,3edec1e4-9678-4a3a-a21b-a145a4ee5e61,<*> Deletion of /var/lib/nova/instances/3edec1e4-9678-4a3a-a21b-a145a4ee5e61_del complete,10,<*> Deletion of <*> del complete
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:30.734,2931,INFO,nova.compute.manager,req-d1a646cc-b7b8-4a63-963e-40051488cb7f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Took 0.99 seconds to destroy the instance on the hypervisor.,3edec1e4-9678-4a3a-a21b-a145a4ee5e61,<*> Took 0.99 seconds to destroy the instance on the hypervisor.,5,<*> Took <*> seconds to <*> the instance on the hypervisor.
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:31.201,2931,INFO,nova.compute.manager,req-d1a646cc-b7b8-4a63-963e-40051488cb7f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Took 0.47 seconds to deallocate network for instance.,3edec1e4-9678-4a3a-a21b-a145a4ee5e61,<*> Took 0.47 seconds to deallocate network for instance.,11,<*> Took <*> seconds to deallocate network for instance.
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:43.091,2931,INFO,nova.compute.claims,req-74d58b45-ade6-4af8-97ea-67d6c7d66e03 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,"<*> Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",12,"<*> Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU"
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:43.092,2931,INFO,nova.compute.claims,req-74d58b45-ade6-4af8-97ea-67d6c7d66e03 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] Total memory: 64172 MB, used: 512.00 MB",3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,"<*> Total memory: 64172 MB, used: 512.00 MB",13,"<*> Total memory: 64172 MB, used: 512.00 MB"
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:43.092,2931,INFO,nova.compute.claims,req-74d58b45-ade6-4af8-97ea-67d6c7d66e03 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] memory limit: 96258.00 MB, free: 95746.00 MB",3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,"<*> memory limit: 96258.00 MB, free: 95746.00 MB",14,"<*> memory limit: 96258.00 MB, free: 95746.00 MB"
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:43.092,2931,INFO,nova.compute.claims,req-74d58b45-ade6-4af8-97ea-67d6c7d66e03 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] Total disk: 15 GB, used: 0.00 GB",3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,"<*> Total disk: 15 GB, used: 0.00 GB",15,"<*> Total disk: 15 GB, used: 0.00 GB"
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:43.093,2931,INFO,nova.compute.claims,req-74d58b45-ade6-4af8-97ea-67d6c7d66e03 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] disk limit not specified, defaulting to unlimited",3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,"<*> disk limit not specified, defaulting to unlimited",16,"<*> disk limit not specified, defaulting to unlimited"
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:43.093,2931,INFO,nova.compute.claims,req-74d58b45-ade6-4af8-97ea-67d6c7d66e03 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] Total vcpu: 16 VCPU, used: 0.00 VCPU",3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,"<*> Total vcpu: 16 VCPU, used: 0.00 VCPU",17,"<*> Total vcpu: 16 VCPU, used: 0.00 VCPU"
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:43.094,2931,INFO,nova.compute.claims,req-74d58b45-ade6-4af8-97ea-67d6c7d66e03 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] vcpu limit not specified, defaulting to unlimited",3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,"<*> vcpu limit not specified, defaulting to unlimited",18,"<*> vcpu limit not specified, defaulting to unlimited"
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:43.134,2931,INFO,nova.compute.claims,req-74d58b45-ade6-4af8-97ea-67d6c7d66e03 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] Claim successful,3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,<*> Claim successful,19,<*> Claim successful
nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:43.420,25746,INFO,nova.osapi_compute.wsgi.server,req-647b4591-b16f-4531-884c-9d4cfe78d93d 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/3416d0fa-6f0f-41ce-9c0a-59ae9a735da8 HTTP/1.1"" status: 200 len: 1708 time: 0.1938121",3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/3416d0fa-6f0f-41ce-9c0a-59ae9a735da8 HTTP/1.1"" status: 200 len: 1708 time: 0.1938121",20,"10.11.10.1 ""GET <*> HTTP/1.1"" status: 200 len: <*> time: <*>"
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:43.735,2931,INFO,nova.virt.libvirt.driver,req-74d58b45-ade6-4af8-97ea-67d6c7d66e03 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] Creating image,3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,<*> Creating image,21,<*> Creating image
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:44.956,2931,INFO,nova.compute.manager,-,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] VM Stopped (Lifecycle Event),3edec1e4-9678-4a3a-a21b-a145a4ee5e61,<*> VM Stopped (Lifecycle Event),1,<*> VM <*> (Lifecycle Event)
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:56.544,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] VM Started (Lifecycle Event),3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,<*> VM Started (Lifecycle Event),1,<*> VM <*> (Lifecycle Event)
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:56.614,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] VM Paused (Lifecycle Event),3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,<*> VM Paused (Lifecycle Event),1,<*> VM <*> (Lifecycle Event)
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:56.727,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] During sync_power_state the instance has a pending task (spawning). Skip.,3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,<*> During sync_power_state the instance has a pending task (spawning). Skip.,2,<*> During sync power state the instance has a pending task <*> Skip.
nova-api.log.2017-05-14_21:27:04,2017-05-14,19:40:04.056,25743,INFO,nova.api.openstack.compute.server_external_events,req-0d2cc775-8472-4201-a174-6c0ace9db623 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -,Creating event network-vif-plugged:623f8dac-b4d6-4f0f-aa15-f941548beb5b for instance 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,Creating event network-vif-plugged:623f8dac-b4d6-4f0f-aa15-f941548beb5b for instance 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,3,Creating event <*> for instance <*>
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:40:04.071,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] VM Resumed (Lifecycle Event),3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,<*> VM Resumed (Lifecycle Event),1,<*> VM <*> (Lifecycle Event)
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:40:04.080,2931,INFO,nova.virt.libvirt.driver,-,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] Instance spawned successfully.,3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,<*> Instance spawned successfully.,4,<*> Instance <*> successfully.
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:40:04.081,2931,INFO,nova.compute.manager,req-74d58b45-ade6-4af8-97ea-67d6c7d66e03 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] Took 20.35 seconds to spawn the instance on the hypervisor.,3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,<*> Took 20.35 seconds to spawn the instance on the hypervisor.,5,<*> Took <*> seconds to <*> the instance on the hypervisor.
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:40:04.195,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] During sync_power_state the instance has a pending task (spawning). Skip.,3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,<*> During sync_power_state the instance has a pending task (spawning). Skip.,2,<*> During sync power state the instance has a pending task <*> Skip.
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:40:04.197,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] VM Resumed (Lifecycle Event),3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,<*> VM Resumed (Lifecycle Event),1,<*> VM <*> (Lifecycle Event)
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:40:04.216,2931,INFO,nova.compute.manager,req-74d58b45-ade6-4af8-97ea-67d6c7d66e03 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] Took 21.13 seconds to build instance.,3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,<*> Took 21.13 seconds to build instance.,6,<*> Took <*> seconds to build instance.
nova-api.log.2017-05-14_21:27:04,2017-05-14,19:40:11.471,25746,INFO,nova.osapi_compute.wsgi.server,req-d20c543c-9745-4834-8b0a-d539289b0aba 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""DELETE /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/3416d0fa-6f0f-41ce-9c0a-59ae9a735da8 HTTP/1.1"" status: 204 len: 203 time: 0.2591450",3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,"10.11.10.1 ""DELETE /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/3416d0fa-6f0f-41ce-9c0a-59ae9a735da8 HTTP/1.1"" status: 204 len: 203 time: 0.2591450",7,"10.11.10.1 ""DELETE <*> HTTP/1.1"" status: 204 len: 203 time: <*>"
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:40:11.516,2931,INFO,nova.compute.manager,req-d20c543c-9745-4834-8b0a-d539289b0aba 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] Terminating instance,3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,<*> Terminating instance,8,<*> Terminating instance
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:40:11.731,2931,INFO,nova.virt.libvirt.driver,-,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] Instance destroyed successfully.,3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,<*> Instance destroyed successfully.,4,<*> Instance <*> successfully.
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:40:12.435,2931,INFO,nova.virt.libvirt.driver,req-d20c543c-9745-4834-8b0a-d539289b0aba 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] Deleting instance files /var/lib/nova/instances/3416d0fa-6f0f-41ce-9c0a-59ae9a735da8_del,3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,<*> Deleting instance files /var/lib/nova/instances/3416d0fa-6f0f-41ce-9c0a-59ae9a735da8_del,9,<*> Deleting instance files <*> del
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:40:12.437,2931,INFO,nova.virt.libvirt.driver,req-d20c543c-9745-4834-8b0a-d539289b0aba 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] Deletion of /var/lib/nova/instances/3416d0fa-6f0f-41ce-9c0a-59ae9a735da8_del complete,3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,<*> Deletion of /var/lib/nova/instances/3416d0fa-6f0f-41ce-9c0a-59ae9a735da8_del complete,10,<*> Deletion of <*> del complete
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:40:12.554,2931,INFO,nova.compute.manager,req-d20c543c-9745-4834-8b0a-d539289b0aba 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] Took 1.03 seconds to destroy the instance on the hypervisor.,3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,<*> Took 1.03 seconds to destroy the instance on the hypervisor.,5,<*> Took <*> seconds to <*> the instance on the hypervisor.
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:40:13.094,2931,INFO,nova.compute.manager,req-d20c543c-9745-4834-8b0a-d539289b0aba 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 3416d0fa-6f0f-41ce-9c0a-59ae9a735da8] Took 0.54 seconds to deallocate network for instance.,3416d0fa-6f0f-41ce-9c0a-59ae9a735da8,<*> Took 0.54 seconds to deallocate network for instance.,11,<*> Took <*> seconds to deallocate network for instance.
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:40:24.830,2931,INFO,nova.compute.claims,req-acd3afcf-5f54-4741-91f5-588fcfa08136 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 874ffb7b-49b3-4c6d-a2e9-35bf272650b1] Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",874ffb7b-49b3-4c6d-a2e9-35bf272650b1,"<*> Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU",12,"<*> Attempting claim: memory 2048 MB, disk 20 GB, vcpus 1 CPU"
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:40:24.831,2931,INFO,nova.compute.claims,req-acd3afcf-5f54-4741-91f5-588fcfa08136 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 874ffb7b-49b3-4c6d-a2e9-35bf272650b1] Total memory: 64172 MB, used: 512.00 MB",874ffb7b-49b3-4c6d-a2e9-35bf272650b1,"<*> Total memory: 64172 MB, used: 512.00 MB",13,"<*> Total memory: 64172 MB, used: 512.00 MB"
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:40:24.832,2931,INFO,nova.compute.claims,req-acd3afcf-5f54-4741-91f5-588fcfa08136 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 874ffb7b-49b3-4c6d-a2e9-35bf272650b1] memory limit: 96258.00 MB, free: 95746.00 MB",874ffb7b-49b3-4c6d-a2e9-35bf272650b1,"<*> memory limit: 96258.00 MB, free: 95746.00 MB",14,"<*> memory limit: 96258.00 MB, free: 95746.00 MB"
nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:40:24.833,2931,INFO,nova.compute.claims,req-acd3afcf-5f54-4741-91f5-588fcfa08136 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"[instance: 874ffb7b-49b3-4c6d-a2e9-35bf272650b1] Total disk: 15 GB, used: 0.00 GB",874ffb7b-49b3-4c6d-a2e9-35bf272650b1,"<*> Total disk: 15 GB, used: 0.00 GB",15,"<*> Total disk: 15 GB, used: 0.00 GB"
